"Key","Section","Context","en","sq","Proofreader Notes"
"addedRecently","addedRecently","General UI text","Recently Added","Shtuar kohët e fundit",""
"additionalDetails","additionalDetails","General UI text","Additional Details","Detaje Shtesë",""
"additionalDetailsDescription","additionalDetailsDescription","Description text","Add more details about your {vehicleType}","Shtoni më shumë detaje për {vehicleType} tuaj",""
"additionalFees","additionalFees","General UI text","Additional fees may apply.","Mund të aplikohen tarifa shtesë.",""
"additionalInfo","additionalInfo","General UI text","Additional Information","Informacione shtesë",""
"additionalMessage","additionalMessage","General UI text","Additional message","",""
"additionalNotes","additionalNotes","General UI text","Dopolniteln zametki","",""
"additionalTerms","additionalTerms","General UI text","Additional Terms","Kushte Shtesë të Rëndësishme",""
"additionalTermsDescription","additionalTermsDescription","Description text","Important additional terms and conditions for platform use.","Dispozita kyçe që rregullojnë përdorimin tuaj të platformës sonë.",""
"addressLine1","addressLine1","General UI text","Potsdamer Platz 1","",""
"addressLine2","addressLine2","General UI text","10785 Berlin","",""
"addressLine3","addressLine3","General UI text","Germany","",""
"admin","admin","General UI text","Administrator","Administratori",""
"adminDashboard","adminDashboard","General UI text","","Paneli i administratorit",""
"adminNotAvailable","adminNotAvailable","General UI text","Administrator/Testing Mode - not accessible to customers","Modaliteti i administratorit/testimit - nuk është i disponueshëm për klientët",""
"adminPanel","adminPanel","General UI text","Admin Panel","Paneli i administratorit",""
"adminTestingMode","adminTestingMode","General UI text","Administrator/Testing Mode","Modaliteti i administratorit/testimit",""
"advancedSearch","advancedSearch","General UI text","Advanced Search","Kërkim i avancuar",""
"agreeToTerms","agreeToTerms","General UI text","I agree to the terms and conditions","Pajtohem me kushtet e përdorimit",""
"agreeToTermsAndDealer","agreeToTermsAndDealer","General UI text","You agree to our Terms of Service and Dealer Agreement.","You agree to our Terms of Service and Dealer Agreement.",""
"airConditioning","airConditioning","General UI text","Air Conditioning","Kondicionimi i Ajrit",""
"airbags","airbags","General UI text","Airbags","Jastëk sigurie",""
"albania","albania","General UI text","Albania","Shqipëria",""
"allCars","allCars","General UI text","All Cars","Të gjitha makinat",""
"allDealersVerified","allDealersVerified","General UI text","Vse dealers verified","Të gjithë dilerët e verifikuar",""
"allListings","allListings","General UI text","All Listings","Të Gjitha Shpaljet",""
"allLocations","allLocations","General UI text","Vse mestopolozheniya","Të Gjitha Vendndodhjet",""
"allQuestions","allQuestions","General UI text","All Questions","Të Gjitha Pyetjet",""
"allRightsReserved","allRightsReserved","General UI text","All Rights Reserved","Të gjitha të drejtat e rezervuara",""
"allRoles","allRoles","General UI text","All Roles","Të Gjithë Rolet",""
"allSellers","allSellers","General UI text","All Sellers","Të gjithë shitësit",""
"allSpecialties","allSpecialties","General UI text","All specialties","Të gjitha specializimet",""
"allSpecialtiesOption","allSpecialtiesOption","General UI text","Vse spetsializatsii","Të gjitha Specialitetet",""
"allStates","allStates","General UI text","All regions","Të gjitha rajonet",""
"allStatesOption","allStatesOption","General UI text","Vse regiony","Të gjithë Shtetet",""
"allStatus","allStatus","General UI text","All Status","Të Gjitha Gjendje",""
"allVehicles","allVehicles","General UI text","All Vehicles","Të gjitha automjetet",""
"allowEmails","allowEmails","General UI text","Allow emails","Lejo email-et",""
"allowMessages","allowMessages","General UI text","Allow messages","Lejo mesazhet",""
"allowPhoneCalls","allowPhoneCalls","General UI text","Allow phone calls","Lejo thirrjet telefonike",""
"alloyWheels","alloyWheels","General UI text","","Rrota aliazhi",""
"alreadyHaveAccount","alreadyHaveAccount","Question or prompt","Already have an account?","Keni tashmë një llogari?",""
"alreadyHaveAccountSignIn","alreadyHaveAccountSignIn","General UI text","Already have an account? Sign In","Already have an account? Sign In",""
"amFmRadio","amFmRadio","General UI text","","Radio AM/FM",""
"amfmRadio","amfmRadio","General UI text","AM/FM radio","Radio AM/FM",""
"analytics","analytics","General UI text","Analytics","Analitika",""
"analyticsInsights","analyticsInsights","General UI text","• Analytics and insights","• Analytics and insights",""
"analyticsReports","analyticsReports","General UI text","Analitika i reporty","Analitika dhe raporte",""
"analyticsReportsDesc","analyticsReportsDesc","Description text","Prosmatrivayte metriki proizvoditelnotss i genotriruyte reporty","Shikoni metrikat e performancës dhe gjeneroni raporte",""
"and","and","General UI text","and","and",""
"annaCustomer","annaCustomer","General UI text","Anna Customer","Ana Klienti",""
"annaCustomerEmail","annaCustomerEmail","General UI text","anna@customer.com","ana@klienti.com",""
"annualIncome","annualIncome","General UI text","","Vendosni të ardhurat vjetore",""
"annualIncomeInvalid","annualIncomeInvalid","General UI text","","Ju lutem vendosni një shumë të vlefshme",""
"annualIncomeRequired","annualIncomeRequired","General UI text","Annual income is required","Të ardhurat vjetore janë të detyrueshme",""
"anotherCard","anotherCard","General UI text","Drug kartochka","Kartë Tjetër",""
"answer","answer","General UI text","Kazhdyy chelovek mozhet imet tolko odin aktiv account. Neskolko accountov mogut privesti k priostanovke accounta. Esli vam nuzhno change tip accounta, contact s our podderzhkoy dlya helpi.","Çdo person mund të ketë vetëm një llogari aktive. Shumë llogari mund të çojnë në suspendimin e llogarisë. Nëse nevojitet të ndryshoni llojin e llogarisë, kontaktoni mbështetjen tonë për ndihmë.",""
"antiLockBrakes","antiLockBrakes","General UI text","","Frenë ABS",""
"any","any","General UI text","Any","Çdo",""
"anyBodyType","anyBodyType","General UI text","","Çdo Lloj Karocerie",""
"anyColor","anyColor","General UI text","Any Color","Çdo Ngjyrë",""
"anyCondition","anyCondition","General UI text","Any Condition","Çdo Gjendje",""
"anyDistance","anyDistance","General UI text","Any Distance","Çdo Distancë",""
"anyDrivetrain","anyDrivetrain","General UI text","","Çdo Sistem Lëvizje",""
"anyFuel","anyFuel","General UI text","","Çdo Lloj Karburanti",""
"anyLocation","anyLocation","General UI text","Enter city or postal code","Shkruani qytetin ose kodin postar",""
"anyMake","anyMake","General UI text","Any Make","Çdo Markë",""
"anyMileage","anyMileage","General UI text","Any Mileage","Çdo Kilometrazh",""
"anyModel","anyModel","General UI text","Any Model","Çdo Model",""
"anyPrice","anyPrice","General UI text","","Çdo Çmim",""
"anyRadius","anyRadius","General UI text","","Çdo Distancë",""
"anyTransmission","anyTransmission","General UI text","","Çdo Transmision",""
"anyType","anyType","General UI text","Any Type","Çdo Lloj",""
"anyYear","anyYear","General UI text","Any Year","Çdo Vit",""
"apply","apply","General UI text","Apply","Apliko",""
"applyFilters","applyFilters","General UI text","Primenit filtery","Apliko Filtrat",""
"aprForMonths","aprForMonths","General UI text","years at","",""
"aprPercent","aprPercent","General UI text","","APR %",""
"arNewestFirst","arNewestFirst","General UI text","God: snachala nov","",""
"arOldestFirst","arOldestFirst","General UI text","God: snachala star","",""
"ars","ars","General UI text","let","",""
"askingPrice","askingPrice","General UI text","Asking Price","Çmimi i kërkuar",""
"askingPriceEuros","askingPriceEuros","General UI text","Asking Price (€) *","Çmimi i Kërkuar (€) *",""
"audiA42021","audiA42021","General UI text","2021 Audi A4","2021 Audi A4",""
"audiA4Avant2021","audiA4Avant2021","General UI text","2021 Audi A4 Avant","2021 Audi A4 Avant",""
"austria","austria","General UI text","Austria","Austria",""
"authorizedRepresentative","authorizedRepresentative","General UI text","Upolnomochen predstavitel","Përfaqësues i Autorizuar",""
"authorizedRepresentativeValue","authorizedRepresentativeValue","General UI text","Anna Schmidt","Anna Schmidt",""
"autoHausBerlin","autoHausBerlin","General UI text","Auto Haus Berlin","AutoHaus Berlin",""
"autoMaxDescription","autoMaxDescription","Description text","Vedushchiy dealer lyuksov carey v Berlinot s opytom bolee 15 let. Spetsializiruetsya na premialn notmetskikh brendakh.","Diler kryesor i makinave luksoze në Berlin me mbi 15 vjet përvojë. Specializuar në markat premium gjermane.",""
"autoTrader","autoTrader","General UI text","Auto Trader","Auto Trader",""
"automatic","automatic","General UI text","Automatic","Automatike",""
"automaticCountryDetection","automaticCountryDetection","General UI text","Automatic opredelenie strany","Zbulimi Automatik i Vendit",""
"automaticDetectionDescription","automaticDetectionDescription","Description text","Sistema avtomaticheski opredelyaet country iz poddomena (naprimer, mk.carmaket365.com dlya Makedonii, al.carmaket365.com dlya Albanii).","Sistemi zbulondon automatikisht vendin nga nëndomeni (p.sh., mk.carmarket365.com për Maqedoninë, al.carmarket365.com për Shqipërinë).",""
"automaticEmergencyBraking","automaticEmergencyBraking","General UI text","","Frenmi Automatik Emergjent",""
"available247","available247","General UI text","Available 24/7","I Disponueshëm 24/7",""
"availableCars","availableCars","General UI text","Over 50,000 cars available nationwide","Mbi 50,000 makina të disponueshme në mbarë vendin",""
"averageListingPrice","averageListingPrice","General UI text","Average Listing Price","Çmimi Mesatar i Shpalljeve",""
"averageListingViews","averageListingViews","General UI text","Average Listing Views","Shikimet mesatare të shpalljeve",""
"averageRating","averageRating","General UI text","Average Rating","Vlerësimi Mesatar",""
"averageResponseTime","averageResponseTime","General UI text","Average Response Time","Koha Mesatare e Përgjigjes",""
"averageTimeToSell","averageTimeToSell","General UI text","Average Time to Sell","Koha mesatare për shitje",""
"awardsDescription","awardsDescription","Description text","My gordimsya tem, chto priznany liderami industrii za nashi innovatsii i servis","Jemi krenarë që jemi njohur nga udhëheqësit e industrisë për inovacionin dhe shërbimin tonë",""
"awardsTitle","awardsTitle","Page or section title","Nagrady i priznanie","Çmime dhe Njohje",""
"awd","awd","General UI text","All-Wheel Drive","Traction në të gjitha rrotat (AWD)",""
"back","back","General UI text","Back","Kthehu",""
"backToCars","backToCars","General UI text","Nazad k carm","",""
"backToDealers","backToDealers","General UI text","Back to dealers","Kthehu tek shitësit",""
"backToHome","backToHome","General UI text","Back to Home","Kthehu në Fillim",""
"backToSearch","backToSearch","General UI text","Back to search","Kthehu në kërkim",""
"backToSignIn","backToSignIn","General UI text","Back to Sign In","Kthehu tek Hyrja",""
"backupCamera","backupCamera","General UI text","Backup Camera","Kamera e Parkimit",""
"badge","badge","General UI text","Test Drive Available","Prova e drejtimit e disponueshme",""
"basedOnTerms","basedOnTerms","General UI text","Based on","",""
"basicInfo","basicInfo","General UI text","Basic Information","Informacioni bazë",""
"basicInfoDescription","basicInfoDescription","Description text","Tell us about your {vehicleType}","Na tregoni për {vehicleType} tuaj",""
"basicInformation","basicInformation","General UI text","Basic Information","Informacionet Bazike",""
"beige","beige","General UI text","","Bezhë",""
"belgium","belgium","General UI text","Belgium","Belgium",""
"belowMarket","belowMarket","General UI text","Below Market","Nën treg",""
"bio","bio","General UI text","Supply chain expert with experience in automotive logistics.","Ekspert i zinxhirit të furnizimit me përvojë në logjistikën e automobilave.",""
"black","black","General UI text","Black","E zezë",""
"blindSpotMonitoring","blindSpotMonitoring","General UI text","Blind Spot Monitoring","Monitorimi i Pikave të Verbra",""
"blue","blue","General UI text","Blue","Blu",""
"bluetooth","bluetooth","General UI text","Bluetooth","Bluetooth",""
"bluetoothConnectivity","bluetoothConnectivity","General UI text","","Lidhja Bluetooth",""
"bmw3Series2022","bmw3Series2022","General UI text","2022 BMW 3 Series","2022 BMW 3 Seritë",""
"bmw3Series320i2022","bmw3Series320i2022","General UI text","2022 BMW 3 Series 320i","2022 BMW 3 Seritë 320i",""
"bobAdmin","bobAdmin","General UI text","Bob Administrator","Bob Administratori",""
"bobAdminEmail","bobAdminEmail","General UI text","bob@admin.com","bob@admin.com",""
"bodyType","bodyType","General UI text","Body Type","Lloji i Karocerisë",""
"bodyTypes","bodyTypes","General UI text","Body Type","Lloji i karocerisë",""
"both","both","General UI text","","Të Dy",""
"brokenImageFallback","brokenImageFallback","General UI text","Povrezhdenn izobrazhenie (pokazyvaet rezerv)","Imazh i Thyer (tregon rezervën)",""
"brown","brown","General UI text","Brown","Kafe",""
"browseAllVehicles","browseAllVehicles","General UI text","Browse all available cars from","Shfleto të gjitha automjetet e disponueshme nga",""
"browseByCategory","browseByCategory","General UI text","Browse by Category","Shfletoni sipas Kategorisë",""
"browseCars","browseCars","General UI text","Browse secure listings","Shfletoni Makinat në Siguri",""
"browseCarsCount","browseCarsCount","General UI text","cars","makina",""
"browseDescription","browseDescription","Description text","Find answers quickly by selecting a category below","",""
"browseNetwork","browseNetwork","General UI text","Browse our network of {count} verified dealers across Germany","Shfletoni rrjetin tonë të {count} dilerëve të verifikuar në të gjithë vendin",""
"browseVehicles","browseVehicles","General UI text","Prosmotret cari","Shfletoni automjetet",""
"browserSettings","browserSettings","General UI text","Settings brauzera","Cilësimet e Shfletuesit",""
"browserTitle","browserTitle","Page or section title","Settings brauzera","Cilësimet e Shfletuesit",""
"businessAddress","businessAddress","General UI text","Business Address","Business Address",""
"businessCars","businessCars","General UI text","Business Cars","Makina Biznesi",""
"businessDescription","businessDescription","Description text","Business Description","Business Description",""
"businessDescriptionPlaceholder","businessDescriptionPlaceholder","Form placeholder text","Describe your business, specializations and services...","Describe your business, specializations, and services...",""
"businessEmail","businessEmail","General UI text","Corporate Email","Business Email",""
"businessEmailPlaceholder","businessEmailPlaceholder","Form placeholder text","business@example.com","business@example.com",""
"businessHours","businessHours","General UI text","Business Hours","Orari i Biznesit",""
"businessHoursValue","businessHoursValue","General UI text","Monday - Friday: 9:00 AM - 6:00 PM CET","Hën-Pre: 9:00 - 18:00 CET",""
"businessInformation","businessInformation","General UI text","Business Information","Business Information",""
"businessName","businessName","General UI text","Nazvanie biznotsa","Emri i Biznesit",""
"businessNamePlaceholder","businessNamePlaceholder","Form placeholder text","Your Company Name LLC","Your Business Name GmbH",""
"businessNameRequired","businessNameRequired","General UI text","Company name required","Business name is required",""
"businessType","businessType","General UI text","Tip biznotsa","Lloji i Biznesit",""
"businessTypeRequired","businessTypeRequired","General UI text","Business type required","Business type is required",""
"businotssCars","businotssCars","General UI text","Biznots cari","",""
"businotssHours","businotssHours","General UI text","Rabochie chasy","",""
"businotssHoursValue","businotssHoursValue","General UI text","Pn-Pt: 9:00 - 18:00 CET","",""
"button","button","Button label","Sell Vehicle","Shis automjetin",""
"buttonVariants","buttonVariants","Button label","Varianty knopok","Variantet e Butonave",""
"buttons","buttons","Button label","Knopki","Butonat",""
"buyAndSellCars","buyAndSellCars","General UI text","Buy and sell cars, save favorites and manage listings","Buy and sell cars, save favorites, and manage your listings",""
"buying","buying","General UI text","Buying Cars","Blerja e makinës",""
"calculate","calculate","General UI text","Calculate Payment","Llogarit",""
"calculateAnother","calculateAnother","General UI text","","Llogarit Tjetër",""
"calculatePayment","calculatePayment","General UI text","Calculate Payment","",""
"calculating","calculating","Loading or progress text","Calculating your estimate...","Po llogaritet vlerësimi juaj...",""
"callDealer","callDealer","General UI text","Call Dealer","Thirr shitësin",""
"callNow","callNow","General UI text","Call Now","Telefono tani",""
"callSupport","callSupport","General UI text","Call Support","Telefono Mbështetjen",""
"cancel","cancel","General UI text","Cancel","Anulo",""
"car","car","General UI text","Car","Makinë",""
"carBroker","carBroker","General UI text","Car Broker","Car Broker",""
"carDealership","carDealership","General UI text","Car Dealership","Car Dealership",""
"carDetail","carDetail","General UI text","","Detajet e makinës",""
"carDetails","carDetails","General UI text","Vehicle Details","Detajet e makinës",""
"carDetailsDescription","carDetailsDescription","Description text","Rasskazhite nam o vashem care, to create privlekateln listing","Na thuaj për makinën tënde për të krijuar një listim tërheqës",""
"carDetailsStep","carDetailsStep","General UI text","Car Details","Detajet e Makinës",""
"carIdAndCountry","carIdAndCountry","General UI text","ID: {id} | Strana: {country}","ID: {id} | Vendi: {country}",""
"carInformation","carInformation","General UI text","Car Information","Informacionet e makinës",""
"carInsurance","carInsurance","General UI text","Car Insurance","Sigurimi i makinës",""
"carListingsDescription","carListingsDescription","Description text","dolzhny poyavitsya nizhe","duhet të shfaqen më poshtë",""
"carListingsFor","carListingsFor","General UI text","Spiski carey dlya","Listat e makinave për",""
"carNotFound","carNotFound","General UI text","Car not nayden","",""
"carPhotos","carPhotos","General UI text","Car Photos","Fotot e makinës",""
"carPhotosRequired","carPhotosRequired","General UI text","Car Photos *","Fotot e makinës *",""
"carRemovedFromSaved","carRemovedFromSaved","Alert or exclamation","Car removed from saved!","Automjeti u hoq nga lista e ruajturave!",""
"carReviews","carReviews","General UI text","Car Reviews","Recensionet e makinave",""
"cardAction","cardAction","General UI text","Deystvie kartochki","Veprimi i Kartës",""
"cardContentExample","cardContentExample","General UI text","Soderzhim kartochki idet zdes s uluchshenn intervalami i tipografikoy.","Përmbajtja e kartës shkon këtu me hapësirë dhe tipografi të përmirësuar.",""
"cardDescription","cardDescription","Description text","Eto opisanie kartochki s uluchsheedm stilem","Ky është një përshkrim karte me stil të përmirësuar",""
"cardTitle","cardTitle","Page or section title","Card Title","Titulli i Kartës",""
"cards","cards","General UI text","Kartochki","Kartat",""
"cardsNowResponsive","cardsNowResponsive","General UI text","Kartochki teper imeyut luchshiy adaptiv dizayn","Kartat tani kanë dizajn më të mirë responsiv",""
"cars","cars","General UI text","cars","makina",""
"carsAvailable","carsAvailable","General UI text","Available Cars","Makina të Disponueshme",""
"carsCount","carsCount","General UI text","cars","makina",""
"carsListedForSale","carsListedForSale","General UI text","Cars you have listed for sale","Automjetet që keni vendosur për shitje",""
"carsSaved","carsSaved","General UI text","cars saved","makina të ruajtura",""
"carsSold","carsSold","General UI text","Cars Sold","Makina të Shitura",""
"categoriesDescription","categoriesDescription","Description text","Our reviews cover all aspects of vehicle ownership and performance.","Recensionet tona mbulojnë të gjitha aspektet e pronësisë dhe performancës së automjeteve.",""
"categoriesTitle","categoriesTitle","Page or section title","Review Categories","Kategoritë e Recensioneve",""
"category","category","General UI text","account","account",""
"centralLocking","centralLocking","General UI text","Central Locking","Kyçje qendrore",""
"certifications","certifications","General UI text","Certifications","Çertifikimet",""
"certificationsAwards","certificationsAwards","General UI text","Certifications and awards","Certifikata dhe çmime",""
"certificationsHeader","certificationsHeader","Navigation text","Certifications","Certifikimet",""
"certified","certified","General UI text","Certified","I certifikuar",""
"certifiedOnly","certifiedOnly","General UI text","Certified Dealers Only","Vetëm tregtarët e çertifikuar",""
"certifiedPreOwned","certifiedPreOwned","General UI text","Certified Pre-Owned","I certifikuar i përdorur",""
"changeAnytime","changeAnytime","General UI text","You can change country preference at any time in header.","Mund ta ndryshoni preferencën tuaj të vendit në çdo kohë nga kreu.",""
"changeCountry","changeCountry","General UI text","Change country","Ndrysho vendin",""
"changePassword","changePassword","General UI text","Change Password","Ndrysho fjalëkalimin",""
"changePhoto","changePhoto","General UI text","Change Photo","Ndrysho foton",""
"chatHours","chatHours","General UI text","Zhivoy chat accessen v rabochie chasy","Chat i drejtpërdrejtë i disponueshëm gjatë orëve të punës",""
"checkEmailInbox","checkEmailInbox","General UI text","Check your email inbox (and spam folder)","",""
"checkYourEmail","checkYourEmail","General UI text","Check Your Email","",""
"chooseCountry","chooseCountry","General UI text","Choose Your Country","Zgjidhni vendin tuaj",""
"chooseCountryToTest","chooseCountryToTest","General UI text","Choose country to test","Zgjidhni një vend për të testuar",""
"chooseDifferent","chooseDifferent","General UI text","Choose another country","Zgjidh një vend tjetër",""
"chooseOption","chooseOption","General UI text","Choose the option that best suits you","Zgjidhni opsionin që ju përshtatet më së miri",""
"choosePhotos","choosePhotos","General UI text","Choose Photos","Zgjidh Foto",""
"city","city","General UI text","City","10785 Berlin, Gjermani",""
"cityCountry","cityCountry","General UI text","City, Country","Qyteti, Vendi",""
"cityMotorsDescription","cityMotorsDescription","Description text","Family dealership serving Munich and surrounding areas. Known for excellent customer service and fair pricing.","Diler familjar që shërben Mynihun dhe zonat përreth. I njohur për shërbim të shkëlqyer ndaj klientëve dhe çmime të drejta.",""
"cityOrPostalCode","cityOrPostalCode","General UI text","City or Postal Code","Qyteti ose kodi postar",""
"cityPlaceholder","cityPlaceholder","Form placeholder text","Moscow","Munich",""
"cityRequired","cityRequired","General UI text","City required","City is required",""
"cityState","cityState","General UI text","City, State","Qyteti, Shteti",""
"cityStateOrZip","cityStateOrZip","General UI text","City, State or ZIP","Qyteti, shteti ose ZIP",""
"cityStateZip","cityStateZip","General UI text","","Qyteti, Shteti ose Kodi Postar",""
"clear","clear","General UI text","Clear","Pastro",""
"clearAll","clearAll","General UI text","Clear All","Pastro të gjitha",""
"clearFilters","clearFilters","General UI text","Ochistit filtery","Pastro Filtrat",""
"clearRecent","clearRecent","General UI text","Clear recent","Pastro të fundit",""
"clearSearch","clearSearch","General UI text","Clear Search","Pastro Kërkimin",""
"clearSelection","clearSelection","General UI text","Ochistit vybor","Pastro përzgjedhjen",""
"clickResetLink","clickResetLink","Action instruction","Click the reset link in the email","",""
"close","close","General UI text","Close","Mbyll",""
"cng","cng","General UI text","CNG","CNG (Gaz natyror)",""
"codeLabel","codeLabel","Form label","Kod:","Kodi:",""
"color","color","General UI text","Color","Ngjyra",""
"colorPreference","colorPreference","General UI text","Color Preference","Preferenca e ngjyrës",""
"comingSoonText","comingSoonText","General UI text","We\","Aktualisht po ndërtojmë bazën tonë gjithëpërfshirëse të recensioneve. Recensionet eksperte dhe komentet e pronëve do të jenë të disponueshme së shpejti për t\",""
"comingSoonTitle","comingSoonTitle","Page or section title","Reviews Coming Soon!","Recensionet Vijnë Së Shpejti!",""
"commercialRegister","commercialRegister","General UI text","Torgovyy reestr","Regjistri Tregtar",""
"commercialRegisterValue","commercialRegisterValue","General UI text","Amtsgericht Berlin","Amtsgericht Berlin",""
"commitmentDescription","commitmentDescription","Description text","CarMarket365 stremitsya obespechit inklyuziv opyt.","CarMarket365 është i dedikuar për të ofruar një përvojë gjithëpërfshirëse.",""
"commitmentText","commitmentText","General UI text","My schitaem, chto u all dolzhen byt rav access k our platforme, notzavisimo ot ikh sposobnostey.","Ne besojmë se të gjithë duhet të kenë akses të barabartë në platformën tonë, pavarësisht nga aftësitë e tyre.",""
"commitmentTitle","commitmentTitle","Page or section title","Nasha priverzhennost accessibilityi","Angazhimi ynë për Aksesueshmërinë",""
"commonQuestionsAbout","commonQuestionsAbout","General UI text","Common questions about","Pyetje të zakonshme rreth",""
"commonTopics","commonTopics","General UI text","Obshchie temy","Temat e zakonshme",""
"commonTopicsDesc","commonTopicsDesc","Description text","Chasto zaprashivaem temy support","Temat e kërkuara shpesh për mbështetje",""
"compactCars","compactCars","General UI text","Compactn cari","Makina Kompakte",""
"companyInfo","companyInfo","General UI text","","Informacionet e kompanisë",""
"companyName","companyName","General UI text","Nazvanie company","Emri i Kompanisë",""
"companyNameValue","companyNameValue","General UI text","CarMarket365 GmbH","CarMarket365 GmbH",""
"compare","compare","General UI text","Sravnit","Krahaso",""
"compareCars","compareCars","General UI text","Sravnit cari","Krahaso Makinat",""
"compareNow","compareNow","General UI text","Sravnit seychas","Krahaso Tani",""
"compareVehicles","compareVehicles","General UI text","Sravnit vehiclesa","Krahaso automjetet",""
"compatibilityDescription","compatibilityDescription","Description text","Nasha platforma protestirovana s programmami chteniya s ekrana i otherimi vspomogateln tekhnologiyami.","Platforma jonë është testuar me lexuesit e ekranit dhe teknologji të tjera ndihmëse.",""
"compatibilityTitle","compatibilityTitle","Page or section title","Sovmestimost s vspomogateln tekhnologiyami","Kompatibiliteti me Teknologjitë Ndihmëse",""
"competitive","competitive","General UI text","Competitive","Konkurrues",""
"complete","complete","General UI text","Complete of service history","Historik i Plotë Shërbimi",""
"components","components","General UI text","","Komponentë",""
"componotnts","componotnts","General UI text","Components","",""
"condition","condition","General UI text","Excellent","Gjendja",""
"conditionLabel","conditionLabel","Form label","Condition *","Gjendja *",""
"conditionPlaceholder","conditionPlaceholder","Form placeholder text","Select condition","Zgjidh gjendjen",""
"conditionRequired","conditionRequired","General UI text","Sostoyanie *","Gjendja *",""
"confidence","confidence","General UI text","Confidence Level","Niveli i Besimit",""
"configureNotifications","configureNotifications","General UI text","Configure how you receive notifications","Konfiguro si të marrësh njoftimet",""
"confirm","confirm","General UI text","Confirm","Konfirmo",""
"confirmPassword","confirmPassword","General UI text","Confirm Password","Konfirmoni Fjalëkalimin",""
"confirmPasswordRequired","confirmPasswordRequired","General UI text","Please confirm password","Please confirm password",""
"confirmYourPassword","confirmYourPassword","General UI text","Confirm your password","Confirm your password",""
"connect","connect","General UI text","Connect","Lidhu",""
"considerPreApproval","considerPreApproval","General UI text","","Konsideroni para-miratimin për kushte më të mira.",""
"contact","contact","General UI text","Contact","Kontakt",""
"contactAccessibilityTeam","contactAccessibilityTeam","General UI text","Svyazatsya s komandoy accessibilityi","Kontakto Ekipin e Aksesueshmërisë",""
"contactDealer","contactDealer","General UI text","Contact Dealer","Kontakto Dilerin",""
"contactDetails","contactDetails","General UI text","Kontaktn data","Detajet e kontaktit",""
